item,Open,Close,Volume
0,162.899994,162.764999,14464990
1,164.399994,170.565002,21341020
2,171.199997,169.604996,22241630
3,169.600006,169.244995,21344840
4,167.5,167.274994,21137420
5,166.169998,163.725006,26127920
6,164.975006,170.259995,28087310
7,170.600006,172.695007,24529370
8,173.070007,176.440002,25162480
9,177.684998,177.610001,20468290
10,175.619995,181.639999,21265790
11,183.800003,184.399994,22716470
12,185,186.535004,21712160
13,188,188.429993,17022890
14,189.800003,193.285004,26377250
15,193.190002,194.050003,16830570
16,193.199997,204.080002,51131380
17,205.524994,205.800003,33818960
18,206.440002,204.059998,21060520
19,201.5,198.524994,20774550
20,201.985001,206.160004,29751020
21,205.100006,207.764999,27568480
22,209.5,207.259995,55330560
23,207,210.315002,24481860
24,213.195007,216.264999,31648070
25,218.190002,215.309998,21732080
26,216.149994,217.774994,24978160
27,216.429993,218.399994,18499690
28,218.800003,217.190002,22965380
29,217.399994,212.925003,56126600
30,212.850006,220.014999,36543090
31,222.699997,225.065002,26676630
32,224.225006,235.035004,42827580
33,237.699997,241.705002,50345570
34,242,245.244995,27876680
35,245.600006,225.5,63344440
36,225.434998,226.050003,44543300
37,228,220.559998,36297520
38,221.490005,212.285004,29408220
39,213.899994,223.125,44586320
40,226.5,224.755005,35696060
41,223.384995,221.875,22623660
42,222.639999,224.669998,31101180
43,null,null,null
44,223.470001,217.604996,19686120
45,215.100006,214.785004,44398420
46,213.5,214.154999,35286120
47,219,222.639999,22974790
48,230.535004,231.080002,36567100
49,234.130005,232.75,18007900
50,237.035004,235.479996,22802380
51,235.800003,229.929993,27417960
52,230,222.789993,40578470
53,223,215.755005,22683990
54,216,218.735001,26379790
55,218.389999,223.285004,23060820
56,222.699997,216.059998,30745480
57,217.600006,216.675003,30728320
58,215.869995,211.744995,20093020
59,215.5,212.914993,38470940
60,212,207.925003,24367160
61,205,206.134995,25090990
62,206.770004,209.634995,25032100
63,210,213.039993,20297730
64,214.199997,217.255005,21628480
65,215,216.255005,15237090
66,214.800003,210.044998,13896030
67,211,215.119995,19318620
68,212.514999,215.854996,25933200
69,217.505005,222.755005,33620420
70,225,221.229996,27182620
71,221.199997,226.509995,20681450
72,229.699997,230.429993,55740650
73,232.304993,229.175003,18500350
74,229.699997,226.904999,19747410
75,226.5,226.044998,19024070
76,226.5,219.320007,21607120
77,219.505005,219.070007,17626560
78,218.919998,217.175003,24860580
79,218.800003,216.235001,19133070
80,215.199997,212.550003,25322120
81,213.100006,213.809998,17221600
82,214.5,214.059998,13934080
83,212.100006,208.410004,22939970
84,206.729996,199.625,24320340
85,194.600006,202.820007,38693170
86,203.600006,195.535004,30371610
87,193.600006,188.309998,34001410
88,189,184.315002,41622790
89,183.899994,185.360001,36830270
90,186.100006,183.975006,29719730
91,182.600006,186.039993,26559600
92,183.399994,182.770004,28987000
93,183.520004,184.835007,28710190
94,182.005005,194.054993,88722070
95,196,200.949997,38849830
96,203.5,193.875,41395000
97,193.320007,195.5,34534760
98,195.800003,196.615005,32104050
99,196.240005,200.690002,29159720
100,201.899994,210.130005,35316050
101,211.5,212.014999,48415290
102,210.149994,209.820007,32384070
103,208,205.604996,40737620
104,205.994995,202.824997,26260160
105,199.220001,204.585007,29318990
106,206.399994,208.274994,32970970
107,210,215.824997,33459450
108,218.300003,216.794998,35579490
109,215.154999,217.945007,29803650
110,220,216.479996,28149690
111,215.5,220.615005,38566440
112,221,222.604996,31091980
113,221.199997,215.024994,33236270
114,216.845001,218.309998,28244050
115,221.600006,208.794998,53583960
116,208.794998,210.065002,37168690
117,211.369995,211.705002,25115340
118,210.020004,217.835007,34033180
119,214.699997,215.779999,35627920
120,216.110001,211.5,43573040
121,211.300003,211.309998,26383570
122,212.809998,211.339996,19443200
123,211.800003,209.830002,27841960
124,213,215.899994,25872690
125,216.979996,218.195007,23629020
126,219.5,218.735001,23044680
127,219.009995,222.479996,33471910
128,221.990005,223.345001,18782280
129,223.570007,222.264999,21904250
130,219.800003,220.945007,21137340
131,221.380005,222.899994,17667680
132,221.5,221.869995,24675290
133,219.490005,222.119995,19749170
134,222.190002,217.845001,17027690
135,218.5,219.945007,18541930
136,221.5,219.910004,13473830
137,219.5,218.550003,20777200
138,221.414993,215.809998,20951570
139,215.100006,213.199997,19267410
140,211.199997,209.315002,15895700
141,209.5,209.5,16448600
142,208.630005,207.035004,17127660
143,207.5,201.740005,24636420
144,205.100006,194.100006,42134890
145,195.125,203.175003,34443090
146,203.800003,200.509995,48379270
147,201,203.339996,19820020
148,203,201.134995,21311770
149,199.104996,200.535004,20063360
150,203.479996,201.824997,16064040
151,202.119995,206.125,25271900
152,207.300003,206.080002,22909420
153,206.725006,196.875,42898490
154,196.300003,188.774994,108902910
155,189.199997,190.654999,53428630
156,191.100006,191.035004,36635290
157,191.800003,189.445007,27216820
158,189.5,189.705002,28632600
159,190.279999,191.509995,19716500
160,190,191.214996,25303710
161,191.404999,191.184998,21831520
162,190,189.384995,18012150
163,189.024994,184.449997,20736720
164,184.225006,184.419998,24599940
165,184.899994,182.990005,18804350
166,182.199997,183.970001,21627450
167,183.899994,183.735001,27903670
168,185,185.070007,15997080
169,186,187.5,17181080
170,186.014999,183.024994,19033670
171,182.699997,185.395004,19561570
172,188.800003,189.205002,24267990
173,null,null,null
174,189.899994,186.115005,19432850
175,184.509995,185.770004,18557340
176,187,185.940002,19625090
177,185.399994,186.759995,16407420
178,191.899994,197.149994,37985040
179,200.600006,207.955002,53902050
180,208,214.945007,44354080
181,210.899994,212.335007,31870400
182,213.589996,221.320007,42035570
183,221.5,219.824997,29149940
184,221.320007,219.649994,30847570
185,218.800003,222.899994,28369700
186,224,224.725006,27464560
187,226.940002,224.059998,22346820
188,224.240005,227.014999,15900770
189,228.095001,229.690002,25948710
190,231,234.570007,24480430
