item,Open,Close,Volume
0,12.77,13.49,738100
1,13.25,12.84,1001200
2,13,13.01,615400
3,13.22,13.53,550300
4,13.42,13.26,531800
5,13.41,13.1,1684500
6,12.7,11.65,2512700
7,11.85,12.32,1081900
8,12.99,13.42,1905100
9,13.49,12.84,1002400
10,12.96,12.9,922900
11,13.04,13.79,1141700
12,13.94,13.97,1161600
13,14.13,13.56,534500
14,13.65,13.22,601200
15,13.34,13.46,645900
16,13.25,12.99,553300
17,13.1,13.05,480200
18,13.13,13.5,558800
19,13.66,13.86,674800
20,13.81,13.82,729700
21,13.79,13.63,675600
22,13.69,13.85,620300
23,13.84,13.49,443000
24,13.41,13.05,377200
25,12.9,12.92,441400
26,12.95,12.77,483400
27,12.58,12.2,913800
28,12.36,12.41,588800
29,12.41,12.37,679300
30,12.38,12.6,359200
31,12.82,12.85,719300
32,12.89,13.22,984400
33,13.21,12.85,718200
34,12.89,12.99,539800
35,12.88,13.04,792000
36,13.15,13.1,662400
37,13.26,12.81,524300
38,12.74,12.32,587500
39,12.17,11.94,439700
40,11.62,11.57,686100
41,11.79,11.82,393600
42,11.76,11.79,464600
43,11.78,11.21,416400
44,11.4,11.09,587500
45,10.98,10.95,547100
46,11.04,10.47,709100
47,10.16,10.5,1046000
48,10.6,10.95,486500
49,10.97,10.99,400100
50,10.92,10.66,483800
51,10.78,10.69,369300
52,10.69,10.62,361500
53,10.6,10.5,342600
54,10.56,10.44,347400
55,10.54,10.41,338100
56,10.31,10.52,443000
57,10.68,10.68,656300
58,10.76,11.06,615600
59,11.84,10.98,1372900
60,11.03,11.33,460300
61,11.35,11.21,417900
62,11.24,11.49,967700
63,11.65,12.23,933000
64,12.25,12.3,578800
65,12.32,12.19,509100
66,12.19,12.09,512300
67,12,11.65,459800
68,11.46,11,610700
69,10.95,10.66,751700
70,10.52,10.55,534000
71,10.46,10.79,531000
72,10.8,10.88,509700
73,10.94,11.35,490500
74,11.35,11.6,435200
75,11.53,11.56,335300
76,11.56,11.76,445400
77,11.9,12.22,643700
78,12.04,11.6,566800
79,11.59,11.55,325000
80,11.66,11.4,469700
81,11.32,11.41,404200
82,11.35,11.04,331400
83,11,10.76,439600
84,10.78,11.21,366300
85,11.33,11.13,344500
86,11.18,11,426200
87,10.99,10.69,275200
88,10.65,10.8,271100
89,10.75,10.83,330500
90,10.8,10.83,849900
91,10.49,10.38,704500
92,10.45,10.47,384200
93,10.43,10.61,261700
94,10.69,10.86,324400
95,10.74,10.99,435400
96,11.04,11.21,455900
97,11.14,10.94,330400
98,11,11.15,277200
99,11.08,9.52,1631400
100,9.57,9.95,921000
101,9.94,9.98,517600
102,10.09,10.23,510600
103,10.07,9.9,433500
104,10.08,10.27,432500
105,10.26,10.03,330000
106,10.15,9.97,205100
107,10.06,9.88,433300
108,9.94,9.84,257700
109,9.89,9.9,350100
110,10.03,10.12,461500
111,10.05,10.27,332400
112,10.13,10.2,493600
113,10.12,10.5,577700
114,10.5,10.85,550900
115,10.84,10.67,444100
116,10.66,10.9,302000
117,10.93,10.36,350000
118,10.38,10.45,731500
119,10.49,10.9,430200
120,10.91,11.06,684300
121,11.19,11.51,956600
122,11.5,11.4,746100
123,12.04,13.64,4395300
124,13.7,13.62,996600
125,13.79,13.7,1228300
126,13.66,13.66,882900
127,13.63,13.61,532500
128,13.52,13.33,515100
129,13.3,13.18,372300
130,13.18,13.46,312500
131,13.49,13.06,337200
132,13.06,13.14,441100
133,13.02,13,404100
134,13.01,13.09,405600
135,12.93,12.82,314600
136,12.85,12.95,416900
137,12.82,12.79,516000
138,12.62,12.67,287700
139,12.21,12.24,312500
140,12.48,11.98,412400
141,11.85,11.63,553800
142,11.98,11.26,486800
143,11.32,11.55,643000
144,11.57,11.15,412500
145,11.11,11.35,386800
146,11.62,11.68,270400
147,11.73,11.64,296600
148,11.55,11.25,240000
149,11.31,11.1,401800
150,11,10.85,565900
151,10.73,10.84,317000
152,10.75,10.84,419500
153,10.98,10.06,538300
154,10.04,10.13,521800
155,9.86,9.73,758400
156,9.84,10.03,815800
157,10.11,9.94,394200
158,10,9.99,680600
159,10.02,10.29,710000
160,10.2,10.25,379700
161,10.24,10.1,444800
162,10.04,10.1,947100
163,10.1,9.98,850700
164,10.18,11.21,1712700
165,11.21,11.46,987400
166,11.49,10.99,944100
167,11.26,11.35,633500
168,11.3,11.2,515700
169,11.07,10.86,756100
170,11,11,637800
171,11.04,10.76,402100
172,10.8,10.72,353300
