item,Open,Close,Volume
0,5.788,5.616,4640500
1,5.642,5.542,3150500
2,5.552,5.424,5027500
3,5.44,5.382,4931500
4,5.4,5.45,4485000
5,5.488,5.524,3359000
6,5.524,5.646,3361500
7,5.696,5.65,3646500
8,5.68,4.558,27502000
9,5.324,5.32,23258000
10,5.338,5.362,6301000
11,5.438,5.352,6231500
12,5.38,5.32,3311500
13,5.362,5.354,2973000
14,5.326,5.484,4290000
15,5.454,5.594,3056000
16,5.614,5.788,6355500
17,5.7,5.866,3742000
18,5.898,5.914,3645000
19,5.98,5.814,4782000
20,5.814,5.916,2616000
21,5.944,6.05,4028500
22,6.082,6.23,3822500
23,6.22,6.36,3260500
24,6.36,6.32,5108000
25,6.32,6.386,3118500
26,6.4,6.516,6385500
27,6.452,6.22,9371000
28,6.31,6.298,5789500
29,6.348,6.634,9054000
30,6.62,6.72,13809000
31,6.7,6.836,11098500
32,6.798,6.994,6883500
33,6.974,6.9,5679000
34,6.9,6.844,8273000
35,6.798,6.906,4102000
36,6.846,6.75,4799500
37,6.682,6.724,3030000
38,6.728,6.762,3061000
39,6.762,6.682,2678500
40,6.702,6.882,3517500
41,6.88,6.808,2750000
42,6.87,6.754,2335000
43,6.65,6.622,2869000
44,6.624,6.624,1824500
45,6.622,6.614,3166500
46,6.64,6.948,7767000
47,6.938,7.202,9816500
48,7.302,7.218,5008000
49,7.2,7.058,4257500
50,7.056,7,2858000
51,6.98,7.064,3646500
52,7.052,6.996,5078000
53,6.996,6.992,2835000
54,6.988,7.03,3036000
55,6.994,6.88,2612000
56,6.852,6.816,5853000
57,7.118,7.48,15702500
58,7.432,7.588,12696000
59,7.556,7.57,4775000
60,7.638,7.466,3982000
61,7.504,7.448,4432000
62,7.466,7.316,5143000
63,7.34,7.602,5490500
64,7.054,7,22409000
65,7.02,6.896,7547000
66,6.82,6.63,8278500
67,6.63,6.492,9238500
68,6.648,6.618,5527500
69,6.754,6.688,5169500
70,6.788,6.718,3248000
71,6.682,6.45,5498000
72,6.486,6.448,5577500
73,6.418,6.532,4115500
74,6.55,6.632,3874500
75,6.628,6.632,4109000
76,6.572,6.388,4454000
77,6.364,6.364,3372500
78,6.414,6.582,3561000
79,6.592,6.698,2126500
80,6.72,6.668,2955000
81,6.654,6.626,2069500
82,6.626,6.756,3295000
83,6.7,6.788,2486500
84,6.782,6.492,4206500
85,6.464,6.366,6237500
86,6.392,6.494,5790000
87,6.5,6.038,15486000
88,6.06,6.012,9739500
89,6.594,6.592,27781500
90,6.498,6.45,6106500
91,6.384,6.012,6904500
92,6.052,5.886,7928500
93,5.916,5.836,6285500
94,5.86,5.714,5745000
95,5.674,5.512,8082500
96,5.516,5.754,7376000
97,6.02,6.16,11831000
98,6.112,6.204,6102000
99,6.25,6.056,5378000
100,6.032,5.962,3785000
101,6.002,6.338,8250000
102,6.216,6.082,6536000
103,6.014,5.9,5593500
104,5.706,5.63,4429000
105,5.606,5.576,5154500
106,5.568,5.582,3154500
107,5.64,5.844,4549500
108,5.962,5.786,2460500
109,5.772,6.016,4405500
110,6.062,5.824,3180000
111,5.846,5.932,2845000
112,5.91,5.954,4220500
113,6.036,5.878,4361000
114,5.878,5.982,3234000
115,5.988,6.368,6284000
116,6.404,6.418,4555500
117,6.7,6.756,17112000
118,6.852,6.438,9459500
119,6.52,6.758,15233000
120,6.788,6.622,7492500
121,6.41,6.322,13069500
122,6.38,6.392,5236000
123,6.38,6.282,4570500
124,6.56,6.258,5629000
125,6.27,6.08,6578000
126,6.12,6.132,4735000
127,6.162,6.246,6269000
128,6.198,6.198,3922500
129,6.188,6.298,4552500
130,6.308,6.254,3792000
131,6.314,6.302,3193000
132,6.258,6.54,5628500
133,6.594,6.85,6524000
134,6.864,7.192,8720000
135,7,6.67,12846500
136,6.284,6.43,14409500
137,6.544,6.454,7179500
138,6.414,6.358,7842500
139,6.21,6.132,6934000
140,6.132,5.968,7501500
141,5.984,5.79,14211000
142,5.98,5.626,11311500
143,5.742,5.902,8365000
144,5.902,5.47,10326000
145,5.508,5.484,7875500
146,5.598,5.25,7961500
147,5.368,5.22,6525500
148,5.38,5.454,6047500
149,5.51,5.654,7641000
150,5.754,6.05,11936000
151,5.98,5.818,6544500
152,5.904,5.882,3363000
153,5.862,5.988,3537000
154,5.938,6.234,4350500
155,6.15,5.884,3967000
156,5.878,5.88,2627000
157,5.906,6.06,3345000
158,6.058,6.002,2541000
159,6.03,5.902,5895500
160,5.916,5.822,3808000
161,5.802,5.99,3877500
162,6,6.146,7355000
163,6.012,5.9,7147000
164,5.914,5.664,6752000
165,5.68,5.738,7013500
166,5.698,5.682,4194500
167,5.72,5.682,3282000
168,5.722,5.704,2699000
169,5.704,5.628,3762500
170,5.602,5.588,3196500
171,5.6,5.71,4208500
172,5.71,5.87,4766000
173,5.84,5.474,7416500
174,5.552,5.56,5074500
175,5.58,5.656,5726000
176,5.714,5.896,7423500
177,6,6.078,7683000
178,6.47,6.508,16064000
179,6.376,6.268,8942500
180,6.2,6.21,5242500
181,6.186,6.18,4562000
182,6.22,6.004,9350000
183,5.902,6.132,6509500
184,5.724,5.532,28402000
185,5.532,5.508,7636000
186,5.564,5.698,8793000
187,5.746,5.856,21717000
188,5.9,5.832,4422000
189,5.856,5.96,3645000
190,5.95,5.86,5264000
191,6,5.88,7706500
192,5.94,5.778,4693000
193,5.772,5.85,4448500
194,5.824,5.674,5965000
195,5.678,5.68,2518000
196,5.788,5.664,2253000
197,5.664,5.528,4938000
198,5.604,5.466,7343500
199,5.534,5.612,2396500
200,5.65,5.764,3340000
201,5.798,5.608,3705000
202,5.566,5.548,5137000
203,5.598,5.57,2351000
204,5.476,5.678,3745000
205,5.704,5.484,5082000
206,5.56,5.504,2888500
207,5.506,5.476,2387000
208,5.54,5.626,3876000
209,5.65,5.85,5120500
210,5.854,5.784,5151500
211,5.96,6.3,10244500
212,6.122,6.23,11620000
213,6.2,6.308,8572500
214,6.202,6.262,6370000
215,6.12,6.064,4315000
216,6.058,6.214,2779500
217,6.258,6.322,4991500
218,6.392,6.276,4356500
219,6.26,6.164,4920000
220,6.23,6.368,4543500
221,6.414,6.584,6962000
222,6.56,6.6,4612500
223,6.522,6.494,4816000
224,6.52,6.426,2151500
225,6.42,6.454,2479000
226,6.426,6.43,4554000
227,6.4,6.646,7626000
228,6.688,6.738,5517000
229,6.726,6.764,7101500
230,6.778,6.924,10428500
231,6.816,6.78,6316500
232,6.764,6.742,3307500
233,6.764,6.78,3302000
234,6.86,6.834,3322000
235,6.886,6.914,4649000
236,6.92,7.056,7863000
237,7.042,7.052,10319000
238,7.052,6.722,10756500
239,6.756,6.762,5115000
240,6.754,6.88,4124500
241,6.852,6.918,7769500
242,6.95,6.922,6494000
243,6.902,6.886,4606000
244,6.788,6.8,7462000
245,6.728,6.856,1879000
246,6.792,6.718,3007000
247,6.7,6.738,2805500
248,6.676,6.644,2070500
249,6.6,6.774,2974500
250,7,7.072,5974000
251,7.036,6.954,3710000
252,6.96,6.88,3370000
253,6.96,6.868,2210000
254,6.9,6.736,6420000
255,6.802,6.728,3490000
256,6.774,6.706,4612500
257,6.808,6.582,7816000
258,6.616,6.652,4625500
259,6.622,6.78,8121000
260,6.77,6.82,6891000
261,6.832,6.876,7183500
262,6.948,6.904,17775500
263,6.912,7.038,9601000
264,7.004,7.2,7821500
265,7.2,7.398,9852000
266,7.4,7.396,6439000
267,7.372,7.606,9930000
268,7.62,7.59,7133000
269,7.57,7.504,4840500
270,7.574,7.502,4507000
271,7.634,7.66,5503000
272,7.68,7.548,5640000
273,7.6,7.626,6551000
274,7.636,7.834,9466000
275,7.838,7.896,5983000
276,7.89,7.848,5699000
277,7.596,7.684,16331500
278,7.69,7.578,11306500
279,7.66,7.69,4834000
280,7.728,7.654,4953500
281,7.7,7.408,10088000
282,7.472,7.856,13507000
283,7.86,7.708,15610000
284,7.298,7.032,45189000
285,7.144,7.222,12736500
286,7.23,6.876,14447000
287,6.892,6.886,13814500
288,6.882,7.02,9796000
289,7.178,6.966,9824500
290,7,6.93,7733000
291,6.954,7.116,8788500
292,7.2,7.33,10435000
293,7.402,7.538,5750000
294,7.546,7.646,5791500
295,7.612,7.694,4560500
296,7.774,7.82,7897500
297,7.78,7.824,6375500
298,7.8,7.796,4110000
299,7.78,7.37,10105000
300,7.328,7.058,16398000
301,7.06,7.03,6580500
